設備ID,発電事業者名,代表者名,事業者の住所,事業者の電話番号,発電設備区分,発電出力（kW）,発電設備の所在地,他の筆数,太陽電池の合計出力（kW）,新規認定日,運転開始報告年月,パワーコンディショナーの自立運転機能の有無,給電用コンセントの有無,廃棄費用の積立方法,廃棄費用の積立状況,調達期間終了年月
A950756E25,前野　真由美,,,,太陽光,49.5,滋賀県甲賀市土山町前野字追垣外３２６,0,57.2,9月21日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A950758E25,前野　真由美,,,,太陽光,49.5,滋賀県甲賀市土山町頓宮字トヤ谷９０６－１,0,57.2,9月21日2016年,2019年1月,-,-,外部積立て,-,2038年12月
A950765E25,合同会社ＴＭＣ,松本　弘,彦根市肥田町９９２,0749-49-3323,太陽光,49.9,滋賀県彦根市日夏町字五ノ町５８６－１,1,49.9,9月21日2016年,2017年5月,-,-,外部積立て,-,2037年3月
A950836E25,愛知川養殖漁業生産組合,小暮　昇一,愛知郡愛荘町愛知川１２４８,0749-42-5106,太陽光,44.0,滋賀県愛知郡愛荘町沓掛８０－１,0,50.3,9月21日2016年,2017年3月,-,-,外部積立て,-,2037年1月
A950871E25,小林　忠道,,,,太陽光,27.5,滋賀県愛知郡愛荘町竹原字雨堤５３０－１,0,37.9,9月21日2016年,2017年3月,-,-,外部積立て,-,2037年1月
A950880E25,ＡＬＢＯＳ合同会社,田中　愛,西宮市苦楽園一番町３番９号,0798-81-3535,太陽光,49.5,滋賀県長浜市木之本町大音孫江８４５,1,63.6,9月21日2016年,2017年2月,-,-,外部積立て,-,2036年12月
A950881E25,水澤　保,,,,太陽光,39.2,滋賀県蒲生郡日野町別所字中川原４１,0,39.2,9月21日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A950910E25,有限会社　ホクユウ産業,代表取締役　北川　智雄,長浜市三田町５１８－１,0749-74-3436,太陽光,49.5,滋賀県長浜市三田町５１８－１,0,62.4,9月21日2016年,2017年8月,-,-,外部積立て,-,2037年6月
A950946E25,株式会社タニケン,代表取締役　谷口　秀治,彦根市小泉町１０６－１２,0749-27-3808,太陽光,500.0,滋賀県彦根市金沢町字吉原８５２,26,648.0,9月29日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A951235E25,ブロードバンドナビ株式会社,前田　有毅,西宮市六湛寺町９－８　市役所前ビル５０２号,0798-78-3112,太陽光,47.2,滋賀県東近江市蒲生寺町字山端１０２８－２,1,80.6,9月29日2016年,2017年3月,-,-,外部積立て,-,2037年1月
A951238E25,本山　昭隆,,,,太陽光,44.0,滋賀県東近江市綺田町字本木３６２,3,52.2,9月29日2016年,2018年6月,-,-,外部積立て,-,2038年4月
A951255E25,甲陸コーポレーション株式会社,代表取締役社長　甲斐切　稔,湖南市柑子袋２７８,0748-72-1243,太陽光,290.0,滋賀県湖南市小砂町４－３,0,290.0,9月29日2016年,2017年2月,-,-,外部積立て,-,2037年1月
A951533E25,株式会社　ビエンカサ,上田　泰平,野洲市冨波甲９９８－１,0775-88-1751,太陽光,39.6,滋賀県甲賀市甲賀町油日２４３４－１２,0,50.4,10月7日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A951824E25,株式会社トゥ・ドゥ,平薮　隆德,京都府京都市下京区櫛笥通正面上る裏片町１９６－１グランメゾン梅小路１０５,075-202-1060,太陽光,49.5,滋賀県近江八幡市牧町字中水茎２２２７－４,0,59.4,10月12日2016年,2017年3月,-,-,外部積立て,-,2037年1月
A951825E25,株式会社山登,吉田　麻里,京都市中京区壬生東大竹町２９－１,,太陽光,49.5,滋賀県近江八幡市牧町字中水茎２２２７－５,0,49.5,10月12日2016年,2017年3月,-,-,外部積立て,-,2037年1月
A951826E25,稲垣　広幸,,,,太陽光,49.5,滋賀県近江八幡市牧町字中水茎２２２７－６,0,59.4,10月12日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A951827E25,山口　裕二,,,,太陽光,49.5,滋賀県近江八幡市牧町字中水茎２２２７－７,0,59.4,10月12日2016年,2017年3月,-,-,外部積立て,-,2037年1月
A951828E25,北野　幸治,,,,太陽光,49.5,滋賀県近江八幡市牧町字中水茎２２２７－８,0,59.4,10月12日2016年,2017年3月,-,-,外部積立て,-,2037年1月
A951829E25,有限会社ＬＯＳｗｅｌｌ,大村　崇,大津市松山町４－７,077-525-7014,太陽光,49.5,滋賀県近江八幡市牧町字中水茎２２２７－１０,0,59.4,10月12日2016年,2017年3月,-,-,外部積立て,-,2037年1月
A951830E25,株式会社イーエネ,志村　市則,京都市西京区樫原井戸１５－３,,太陽光,49.5,滋賀県近江八幡市牧町字中水茎２２２７－９,0,59.4,10月12日2016年,2017年3月,-,-,外部積立て,-,2037年1月
A951865E25,三浦　理,,,,太陽光,35.4,滋賀県東近江市垣見町字村ノ内５６７,1,43.2,10月12日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A951872E25,株式会社　西川組,西川　学,近江八幡市牧町２９１番１,0748-33-2138,太陽光,45.3,滋賀県近江八幡市牧町２９１－１,0,51.2,10月12日2016年,2017年5月,-,-,外部積立て,-,2037年3月
A951940E25,五十子　又一,,,,太陽光,23.6,滋賀県東近江市栗見新田町５４５－１,0,27.7,10月12日2016年,2017年1月,-,-,外部積立て,-,2036年11月
A951982E25,ＡＬＬ　ＩＮ　株式会社,畠山　典之,近江八幡市金剛寺町３５９－１,0748-38-8776,太陽光,20.9,滋賀県守山市守山４－５－２１,0,23.1,10月12日2016年,2016年12月,-,-,外部積立て,-,2036年11月
A951991E25,前田　幸子,,,,太陽光,47.2,滋賀県高島市マキノ町西浜字岩ノ下１４４７－２,0,69.9,10月12日2016年,2018年1月,-,-,外部積立て,-,2037年12月
A952003E25,宮嵜　正夫,,,,太陽光,49.5,滋賀県長浜市高月町唐川５１２,1,56.9,10月12日2016年,2017年4月,-,-,外部積立て,-,2037年3月
A952028E25,小森　香苗,,,,太陽光,29.5,滋賀県蒲生郡日野町音羽字上浦５４３,1,38.6,10月12日2016年,2017年4月,-,-,外部積立て,-,2037年3月
A952097E25,株式会社フタバ,山本　重朗,滋賀県草津市上笠４－２２－３３,077-576-7740,太陽光,49.9,滋賀県彦根市西今町字笹塚３９８,0,57.1,10月12日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A952102E25,吉田電工株式会社,吉田　正和,甲賀市甲南町野尻６５５,0748-86-2224,太陽光,49.9,滋賀県甲賀市甲南町竜法師６５４,0,79.5,10月12日2016年,2017年11月,-,-,外部積立て,-,2037年9月
A952105E25,宇野　久和,,,,太陽光,40.5,滋賀県大津市関津１－９５６－１,3,40.5,10月12日2016年,2017年5月,-,-,外部積立て,-,2037年1月
A952118E25,大和エネルギー株式会社,東　武,大阪府大阪市阿倍野区阿倍野筋１－１－４３,06-4703-3208,太陽光,832.5,滋賀県蒲生郡竜王町大字薬師字砂山１１７８－６８７,0,907.2,10月13日2016年,2020年1月,-,-,外部積立て,-,2039年11月
A952120E25,サンシステム株式会社,沖　紀和,神奈川県小田原市成田４８１－１,0465-70-3303,太陽光,1320.0,滋賀県甲賀市水口町八田字上水口７８　他（別紙のとおり）,0,1782.7,10月13日2016年,2020年4月,-,-,外部積立て,-,2040年2月
A952399E25,椿　歩未,,,,太陽光,47.2,滋賀県高島市マキノ町白谷北海道４０６－１,0,71.0,10月12日2016年,2017年6月,-,-,外部積立て,-,2037年4月
A952403E25,三輪　道然,,,,太陽光,49.5,滋賀県大津市石山南郷町４５９－１４,0,64.8,10月12日2016年,2017年7月,-,-,外部積立て,-,2037年6月
A952405E25,有限会社　昭英工業,池田英夫,東近江市愛東外町６６１,0749-46-1182,太陽光,49.5,滋賀県湖南市正福寺１３０９－１３０,0,49.5,10月12日2016年,2020年1月,-,-,外部積立て,-,2039年9月
A952659E25,二階堂　邦夫,,,,太陽光,49.5,滋賀県蒲生郡日野町中山字徳原７４７－３３８,0,72.9,10月17日2016年,2019年1月,-,-,外部積立て,-,2038年11月
A952660E25,中川　寛樹,,,,太陽光,49.5,滋賀県蒲生郡日野町中山字徳原７４７－３３９,0,49.5,10月17日2016年,2017年5月,-,-,外部積立て,-,2037年3月
A952669E25,石原　史也,,,,太陽光,49.5,滋賀県甲賀市甲南町市原字前野５６４－１,1,69.6,10月17日2016年,2019年4月,-,-,外部積立て,-,2039年2月
A952670E25,合同会社Ｍ＆Ｈ,藤居　真美,滋賀県栗東市目川４６５ー３,,太陽光,47.2,滋賀県甲賀市甲南町池田字万丁１４８６－１,0,60.4,10月17日2016年,2017年7月,-,-,外部積立て,-,2037年5月
A952672E25,神保　将輝,,,,太陽光,47.2,滋賀県甲賀市甲南町池田字万丁１４８６－２,3,58.3,10月17日2016年,2018年4月,-,-,外部積立て,-,2038年2月
A952677E25,野﨑　聖,,,,太陽光,49.5,滋賀県大津市八屋戸字カヤ８５２,0,75.6,10月17日2016年,2018年8月,-,-,外部積立て,-,2038年6月
A952682E25,タナカ合同会社,代表社員　田中　智家臣,彦根市西今町２６２－１２,,太陽光,200.0,滋賀県彦根市日夏町字五ノ町６２７,4,217.6,10月20日2016年,2017年7月,-,-,外部積立て,-,2037年5月
A952683E25,小寺　正明,,,,太陽光,149.7,滋賀県東近江市聖和町字沖野７８９,1,183.6,10月20日2016年,2017年3月,-,-,外部積立て,-,2037年1月
A952689E25,合同会社中山,代表社員　中山　俊平,長浜市湖北高田町２５２,,太陽光,150.0,滋賀県長浜市湖北高田町字清水尻２５０,2,165.0,10月20日2016年,2020年4月,-,-,外部積立て,-,2040年2月
A952690E25,株式会社カネカ,藤井一彦,大阪府大阪市北区中之島２－３－１８,,太陽光,168.3,滋賀県大津市比叡辻二丁目字清水崎２１０,3,206.5,10月20日2016年,2017年7月,-,-,外部積立て,-,2037年5月
A952994E25,川添　大輔,,,,太陽光,47.2,滋賀県高島市マキノ町森西字黒川４８２－２,0,71.6,10月17日2016年,2017年6月,-,-,外部積立て,-,2037年4月
A953033E25,竹本　翔,,,,太陽光,21.6,滋賀県長浜市湖北町津里７４１,0,21.6,10月17日2016年,2016年12月,-,-,外部積立て,-,2036年10月
A953050E25,小泉　勝敬,,,,太陽光,24.3,滋賀県愛知郡愛荘町安孫子７２,0,24.3,10月17日2016年,2017年2月,-,-,外部積立て,-,2036年12月
A953064E25,森田　正樹,,,,太陽光,49.5,滋賀県近江八幡市若宮町字下屋敷ノ内３２４－１,0,61.5,10月17日2016年,2017年6月,-,-,外部積立て,-,2037年4月
A953113E25,有限会社シ・サクセス,北邑　泰章,彦根市高宮町３０８８－１,0749-28-4635,太陽光,22.0,滋賀県犬上郡甲良町大字呉竹字窪川２７５,0,32.6,10月17日2016年,2017年10月,-,-,外部積立て,-,2037年8月
A953146E25,エアーエナジー　合同会社,松永　正博,大津市比叡平三丁目４１ー５,077-529-2923,太陽光,44.0,滋賀県大津市大石小田原２－７６－１,0,44.0,10月17日2016年,2017年9月,-,-,外部積立て,-,2037年6月
A953176E25,株式会社フジサワ建設,代表取締役　藤澤　正幸,甲賀市水口町水口１５９０－１,0748-62-3100,太陽光,250.0,滋賀県甲賀市甲南町葛木字恵古１５０１,0,324.0,10月27日2016年,2017年8月,-,-,外部積立て,-,2037年7月
A953177E25,株式会社京都メンテナンス,代表取締役　渡邊　勝弘,京都市北区小山上総町１０－８,075-414-7711,太陽光,400.0,滋賀県大津市雄琴２－字寺谷１３７１－１,4,547.0,10月27日2016年,2017年2月,-,-,外部積立て,-,2036年12月
A953399E25,株式会社ＮＪプランナー,奥村　典幸,東近江市中戸町３９８番地,0749-46-1382,太陽光,49.5,滋賀県東近江市五個荘簗瀬町字六ノ瀬１１０－１,0,70.7,10月19日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A953401E25,桝田　慎吾,,,,太陽光,31.3,滋賀県甲賀市水口町北泉２－３４,0,32.6,10月19日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A953468E25,下司　常晴,,,,太陽光,49.5,滋賀県蒲生郡日野町音羽字木呂比野５２８－２６,0,64.8,10月19日2016年,2017年6月,-,-,外部積立て,-,2037年5月
A953542E25,モービルオート株式会社,代表取締役　塔筋　裕二,貝塚市名越３１０－４,072-447-0621,太陽光,250.0,滋賀県高島市永田字松田３１４－１,4,330.0,10月27日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A953879E25,藤本　由江,,,,太陽光,33.0,滋賀県蒲生郡日野町村井字馬見分１９８４－１０,0,33.0,10月21日2016年,2017年12月,-,-,外部積立て,-,2037年8月
A954152E25,株式会社丸正,代表取締役　立岡　徹,甲賀市土山町北土山１４３５,0748-66-0162,太陽光,100.0,滋賀県甲賀市土山町北土山字松ノ木谷１２７７,0,114.4,10月27日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A954154E25,株式会社ジェネックス,福田　徳浩,愛知県碧南市向陽町４－７９ウィルビル３階,0566-91-4131,太陽光,999.0,滋賀県甲賀市水口町新城字西山田１１２０,1,1217.8,11月10日2016年,2018年10月,-,-,外部積立て,-,2038年8月
A954488E25,辰野　弘之,,,,太陽光,49.5,滋賀県彦根市高宮町字西川原２０７２,0,49.5,11月1日2016年,2017年6月,-,-,外部積立て,-,2037年3月
A954491E25,辰野　けい子,,,,太陽光,49.5,滋賀県彦根市高宮町字西川原２０６７‐１８５,0,49.5,11月1日2016年,2017年3月,-,-,外部積立て,-,2037年1月
A954494E25,山田　正人,,,,太陽光,49.5,滋賀県甲賀市甲南町深川字長坂３６７ー３７,0,84.0,11月1日2016年,2019年8月,-,-,外部積立て,-,2039年4月
A954502E25,有限会社　大谷サービス,代表取締役　大谷和弘,大津市森２－１－１５,077-546-7700,太陽光,49.0,滋賀県東近江市小脇町１２５４－１,0,66.0,11月1日2016年,2017年8月,-,-,外部積立て,-,2037年6月
A954503E25,有限会社　大谷サービス,代表取締役　大谷和弘,大津市森２－１－１５,077-546-7700,太陽光,49.0,滋賀県東近江市小脇町１２５４－１４,0,79.2,11月1日2016年,2017年8月,-,-,外部積立て,-,2037年6月
A954512E25,ＥＮＥＯＳリニューアブル・エナジー株式会社,竹内　一弘,東京都港区麻布台１‐３‐１麻布台ヒルズ森ＪＰタワー,,太陽光,1975.0,滋賀県蒲生郡日野町大字上駒月字茨原５００,27,3015.0,11月10日2016年,2018年12月,-,-,外部積立て,-,2038年10月
A954513E25,株式会社Ｓ．Ｐ．Ｇ．Ｙ,山脇秀介,滋賀県彦根市小泉町３００－９,074-922-3228,太陽光,495.0,滋賀県蒲生郡日野町別所字清水１１０５,0,646.3,11月10日2016年,2017年5月,-,-,外部積立て,-,2037年3月
A954517E25,株式会社大塚フーズ,大塚　哲芝,大阪府堺市中区深井中町３３０８,072-277-0545,太陽光,275.0,滋賀県大津市南小松字北山角３１３,2,419.5,11月10日2016年,2017年8月,-,-,外部積立て,-,2037年6月
A954518E25,株式会社エコミライ,大塚　哲芝,愛知県名古屋市中区錦３－１３－３４,052-959-3575,太陽光,137.5,滋賀県大津市南小松字北山角３１１,2,210.7,11月10日2016年,2017年8月,-,-,外部積立て,-,2037年6月
A954762E25,株式会社ウッドソレル,堀　洋子,近江八幡市堀上町２５２番地,0748-31-0051,太陽光,26.4,滋賀県近江八幡市堀上町２２８－１,0,30.6,11月4日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A954809E25,益田　康彦,,,,太陽光,29.5,滋賀県大津市黒津五丁目字上ノ橋３－１３,1,51.6,11月4日2016年,2017年3月,-,-,外部積立て,-,2037年1月
A954811E25,伊吹建設工業　株式会社,藤崎　光寛,米原市村木７５６番地,0794-55-8181,太陽光,49.5,滋賀県米原市万願寺字大井２８０－２,0,79.6,11月4日2016年,2017年2月,-,-,外部積立て,-,2036年12月
A954935E25,吉田　孝,,,,太陽光,49.5,滋賀県長浜市東上坂町７９０－１,0,62.2,11月4日2016年,2020年3月,-,-,外部積立て,-,2039年12月
A954942E25,合同会社ＹＭＡｓｓｅｔＭａｎａｇｅｍｅｎｔ,前田　泰宏,大阪府東大阪市東鴻池町５－９－２２,,太陽光,49.5,滋賀県大津市大石龍門６－字小平段９１２,1,87.2,11月4日2016年,2019年8月,-,-,外部積立て,-,2039年6月
A954957E25,株式会社　アルシオ７５,小久保　直也,伊勢市鹿海町１４５４番地１９,0596-34-0910,太陽光,22.0,滋賀県甲賀市水口町北泉１－１０５　アドレス北泉,0,26.4,11月4日2016年,2017年1月,-,-,外部積立て,-,2036年11月
A954964E25,株式会社ビエンカサ,上田　泰平,滋賀県野洲市冨波甲９９８－１,077-588-1751,太陽光,35.4,滋賀県高島市勝野２４９－１,0,40.1,11月4日2016年,2018年6月,-,-,外部積立て,-,2038年4月
A955020E25,古川　成和,,,,太陽光,49.5,滋賀県高島市マキノ町下開田字谷前６２－１,0,49.5,11月4日2016年,2017年6月,-,-,外部積立て,-,2037年4月
A955027E25,有限会社シ・サクセス,北邑　泰章,彦根市高宮町３０８８－１,0749-28-4635,太陽光,44.0,滋賀県彦根市正法寺町６９４－１,0,65.2,11月4日2016年,2017年9月,-,-,外部積立て,-,2037年7月
A955053E25,本郷　冨美榮,,,,太陽光,22.0,滋賀県大津市大萱５－３－２,0,22.0,11月4日2016年,2017年11月,-,-,外部積立て,-,2037年8月
A955057E25,間宮　亜有美,,,,太陽光,23.5,滋賀県大津市富士見台３９－１５,0,23.5,11月4日2016年,2018年8月,-,-,外部積立て,-,2038年5月
A955068E25,清水　岩男,,,,太陽光,30.0,滋賀県長浜市大路町８５９,0,38.8,11月4日2016年,2017年10月,-,-,外部積立て,-,2037年7月
A955085E25,梅村　要,,,,太陽光,49.5,滋賀県彦根市出路町字出地１２５,3,63.2,11月4日2016年,2017年10月,-,-,外部積立て,-,2037年8月
A955153E25,金城開発株式会社,北川　光明,彦根市古沢町６８５,0749-23-3331,太陽光,33.0,滋賀県栗東市大橋６－４３５－１,2,33.0,11月4日2016年,2017年9月,-,-,外部積立て,-,2037年6月
A955157E25,久保　宗弘,,,,太陽光,49.5,滋賀県東近江市池庄町字栃林４５０,0,68.2,11月4日2016年,2017年6月,-,-,外部積立て,-,2037年4月
A955175E25,株式会社　東洋石創,山村文志郎,愛知郡愛荘町島川１５７８－１,0749-42-8100,太陽光,45.2,滋賀県愛知郡愛荘町島川１５７８－１,0,52.7,11月4日2016年,2017年6月,-,-,外部積立て,-,2037年4月
A955182E25,吉岡　秀明,,,,太陽光,49.5,滋賀県甲賀市甲南町杉谷前野２８５−１,0,87.0,11月4日2016年,2018年10月,-,-,外部積立て,-,2038年7月
A955191E25,野口　周三,,,,太陽光,33.0,滋賀県愛知郡愛荘町長野字道前７７２－２,0,42.4,11月4日2016年,2017年4月,-,-,外部積立て,-,2037年3月
A955194E25,株式会社ハヤシ,代表取締役社長　林　秀光,彦根市高宮町１６６６－３,0749-24-0555,太陽光,3334.0,滋賀県近江八幡市西生来町字蒲生野口６１５－３,16,3630.0,11月10日2016年,2020年3月,-,-,外部積立て,-,2040年2月
A955195E25,ソルエナジー合同会社,大橋廣勝,滋賀県大津市別保２－９－４８,077-537-0751,太陽光,299.9,滋賀県草津市上寺町字北ホタ杭３２２－１,0,391.6,11月10日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A955197E25,野村　宗史,,,,太陽光,250.0,滋賀県甲賀市水口町山字北小野３６５８－９,2,267.5,11月10日2016年,2019年11月,-,-,外部積立て,-,2039年10月
A955198E25,合同会社ニシムラ,代表社員　西村　忠朋,彦根市中藪町７２１－４,0749-27-4787,太陽光,450.0,滋賀県彦根市正法寺町字後次郎６７８－１,7,489.6,11月10日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A955823E25,株式会社スズカキャリーサービス,寺川正浩,三重県鈴鹿市国府町字菖蒲谷５０９５－１,,太陽光,250.0,滋賀県甲賀市信楽町下朝宮字猪之鼻８７３,1,324.0,11月17日2016年,2018年6月,-,-,外部積立て,-,2038年4月
A955825E25,株式会社京都エネルギー研究所,安城欽寿,京都府京都市西京区松室山添町１６－２,075-381-2377,太陽光,299.9,滋賀県甲賀市甲南町柑子字御所２００２－４１,0,414.7,11月17日2016年,2017年9月,-,-,外部積立て,-,2037年7月
A955838E25,サンブリル株式会社,的場　久忠,大阪市淀川区西宮原１－８－３３　２０８,075-406-0893,太陽光,49.5,滋賀県大津市南比良字天神山１０９１,0,60.4,11月15日2016年,2017年7月,-,-,外部積立て,-,2037年5月
A955852E25,住マイライフ有限会社,岡田　正明,大津市南郷六丁目１３０９－１５,077-534-1188,太陽光,22.0,滋賀県大津市大石小田原２－８１２－１,0,22.0,11月15日2016年,2017年6月,-,-,外部積立て,-,2037年3月
A955854E25,笹部　一成,,,,太陽光,29.5,滋賀県甲賀市土山町大野３９４８－１６９,0,36.9,11月15日2016年,2017年10月,-,-,外部積立て,-,2037年9月
A955868E25,鶴谷　傑英,,,,太陽光,47.2,滋賀県甲賀市土山町大野字北谷３９４８－３６,3,73.9,11月15日2016年,2017年5月,-,-,外部積立て,-,2037年4月
A955877E25,清水　岩男,,,,太陽光,49.9,滋賀県長浜市大路町３２５,0,65.3,11月15日2016年,2017年12月,-,-,外部積立て,-,2037年10月
A955888E25,株式会社ステイワン,友井　亮輔,大阪市北区長柄東１丁目４番２４号さざなみプラザ第２　２４号棟１階,06-6358-5255,太陽光,47.2,滋賀県高島市今津町浜分４６４－１７,3,47.2,11月15日2016年,2017年5月,-,-,外部積立て,-,2037年2月
A955963E25,西出　新一,,,,太陽光,49.5,滋賀県甲賀市甲賀町岩室字中野１４３４,0,49.5,11月15日2016年,2017年6月,-,-,外部積立て,-,2037年4月
A955974E25,小山　誠二,,,,太陽光,49.5,滋賀県長浜市鍛冶屋町字中川原５９６－３,2,79.8,11月15日2016年,2017年8月,-,-,外部積立て,-,2037年6月
A956054E25,青木　規雄,,,,太陽光,21.0,滋賀県栗東市目川１６３１,2,21.0,11月15日2016年,2017年6月,-,-,外部積立て,-,2037年3月
A956128E25,株式会社　大津二橋商店,二橋　昭夫,大津市丸の内町８番３３,077-525-2511,太陽光,47.2,滋賀県東近江市札の辻２－１２２７－４,0,67.8,11月15日2016年,2017年5月,-,-,外部積立て,-,2037年3月
A956299E25,吉田電工株式会社,吉田　正和,甲賀市甲南町野尻６５５,0748-86-2224,太陽光,49.9,滋賀県甲賀市甲南町新治２３５１‐１,0,81.0,11月15日2016年,2017年11月,-,-,外部積立て,-,2037年9月
A956300E25,吉田電工株式会社,吉田　正和,甲賀市甲南町野尻６５５,0748-86-2224,太陽光,49.9,滋賀県甲賀市土山町頓宮８２４,0,79.5,11月15日2016年,2019年4月,-,-,外部積立て,-,2039年3月
A956301E25,吉田電工株式会社,吉田　正和,甲賀市甲南町野尻６５５,0748-86-2224,太陽光,49.9,滋賀県甲賀市土山町前野１３８‐３４,0,79.5,11月15日2016年,2017年12月,-,-,外部積立て,-,2037年11月
A956303E25,吉田電工株式会社,吉田　正和,甲賀市甲南町野尻６５５,0748-86-2224,太陽光,49.5,滋賀県甲賀市甲南町杉谷３３９,0,81.0,11月15日2016年,2019年12月,-,-,外部積立て,-,2039年10月
A956313E25,木原　加津也,,,,太陽光,49.5,滋賀県高島市安曇川町川島字北町１６７９,0,72.5,11月15日2016年,2017年10月,-,-,外部積立て,-,2037年8月
A956328E25,西川　一男,,,,太陽光,49.5,滋賀県長浜市七条町１０２２‐３,0,49.5,11月15日2016年,2017年7月,-,-,外部積立て,-,2037年5月
A956329E25,ナルミコーポレーション株式会社,大田　美行,滋賀県東近江市中小路町５５３－５,0748-36-3866,太陽光,49.5,滋賀県蒲生郡日野町西大路字南山２３５３－１２,0,49.5,11月15日2016年,2017年3月,-,-,外部積立て,-,2037年2月
A956338E25,株式会社エムジーエネルギー,村田　充,守山市播磨田町６３０番地,077-583-8072,太陽光,49.5,滋賀県東近江市今堀町字宮之後４０６－１,1,74.4,11月15日2016年,2017年4月,-,-,外部積立て,-,2037年3月
A956959E25,松本　雅樹,,,,太陽光,49.5,滋賀県高島市新旭町太田字南川原２５６２－１０,5,73.4,11月24日2016年,2017年10月,-,-,外部積立て,-,2037年8月
A956960E25,松本　雅樹,,,,太陽光,49.5,滋賀県高島市新旭町太田字南川原２５６２－２７,2,61.2,11月24日2016年,2017年10月,-,-,外部積立て,-,2037年8月
A956964E25,上田　眞司,,,,太陽光,44.0,滋賀県蒲生郡日野町大字西大路字大水戸２６０５－４９,0,51.0,11月24日2016年,2017年6月,-,-,外部積立て,-,2037年5月
A956977E25,合同会社ヒサシ,泉岡　百梨子,京都府京都市中京区寺町通押小路上る榎木町１０２,075-406-0893,太陽光,20.0,滋賀県高島市新旭町深溝字西釜５１１－２,0,22.9,11月24日2016年,2017年9月,-,-,外部積立て,-,2037年7月
A956981E25,株式会社ソシエ,田村　龍道,兵庫県尼崎市立花町１－９－２３,06-4961-5000,太陽光,49.5,滋賀県高島市マキノ町海津字西芝原１４０２－１,1,78.0,11月24日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A956987E25,合同会社ＳＲＥ,岡田ゆかり,滋賀県大津市本丸町３－１５,077-526-0474,太陽光,49.5,滋賀県蒲生郡日野町鎌掛５９７－１,0,83.2,11月24日2016年,2020年4月,-,-,外部積立て,-,2040年2月
A956988E25,本郷　満子,,,,太陽光,26.0,滋賀県大津市月輪２－１０,0,32.5,11月24日2016年,2017年6月,-,-,外部積立て,-,2037年2月
A956992E25,本郷　智也,,,,太陽光,40.0,滋賀県大津市大石龍門１－５６１,0,49.5,11月24日2016年,2017年8月,-,-,外部積立て,-,2037年6月
A956993E25,本郷　智也,,,,太陽光,40.0,滋賀県大津市大石龍門１－５６０,0,55.0,11月24日2016年,2017年8月,-,-,外部積立て,-,2037年6月
A956995E25,鈴木　喜展,,,,太陽光,220.0,滋賀県守山市服部町字西川原１２５２,5,262.3,11月24日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A956996E25,東洋産業株式会社,代表取締役　鈴木　喜展,野洲市三上２５６２－１,077-587-2082,太陽光,165.0,滋賀県野洲市野洲字浅田１７０９－１,0,184.4,11月24日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A957241E25,谷本　隆儀,,,,太陽光,47.2,滋賀県守山市播磨田町字北奥田１９４４－２,4,80.6,11月24日2016年,2017年4月,-,-,外部積立て,-,2037年2月
A957261E25,株式会社光利,齊藤直光,京都府京都市左京区北白川追分町１－４－３０８,03-6206-4353,太陽光,175.0,滋賀県犬上郡多賀町大字多賀字中之尾１９９,0,285.6,11月24日2016年,2018年5月,-,-,外部積立て,-,2038年3月
A957279E25,戸野部　光,,,,太陽光,49.5,滋賀県長浜市西浅井町山門字森下６７７－８,0,74.3,12月5日2016年,2017年5月,-,-,外部積立て,-,2037年3月
A957684E25,株式会社ＳＵＮＬＥＤ,代表取締役社長　吉田　周治,大津市一里山１－１－１－６０５,077-547-2177,太陽光,133.0,滋賀県愛知郡愛荘町蚊野外字金剛寺野１０－１,0,133.0,12月1日2016年,2017年7月,-,-,外部積立て,-,2037年5月
A957906E25,富田　正行,,,,太陽光,39.6,滋賀県高島市黒谷１４９２－２,1,55.4,12月5日2016年,2017年12月,-,-,外部積立て,-,2037年10月
A957907E25,株式会社リアライズ,浅倉　康之,大阪府大阪市北区梅田３－２－２,06-4797-7705,太陽光,49.5,滋賀県高島市黒谷１４９２－７,3,64.2,12月5日2016年,2017年12月,-,-,外部積立て,-,2037年10月
A957931E25,浜野　利彦,,,,太陽光,49.5,滋賀県大津市南小松字南千堂６１８－１,0,68.0,12月5日2016年,2017年6月,-,-,外部積立て,-,2037年4月
A957940E25,トリニティー株式会社,森　政人,関市北福野町１－１－１０,0575-22-1999,太陽光,49.5,滋賀県東近江市市ケ原町字市ケ原１９８－３,0,95.7,12月5日2016年,2017年6月,-,-,外部積立て,-,2037年4月
